"msa","pop_total","area_km2","avg_density","mean_cbg_area_km2","median_cbg_area_km2","n_cbg","radial_slope","radial_r2","compactness","poly_gini","rank_size_slope","county"
"San Francisco",1142251,2080.53656791562,549.017507125271,3.26614845826628,0.704003230454371,637,-8.13661596764639e-07,4.87489530784333e-05,0.409280340849603,0.436748105333389,0.923077977939257,"06013"
"San Francisco",1656754,2126.11449831908,779.240253198894,2.03067287327515,0.340314837262267,1047,-1.14100138701853e-05,0.00750794889123501,0.443770200562495,0.385104401346659,1.21443017775152,"06001"
"San Francisco",767423,1918.16461925805,400.08192847225,4.14290414526577,0.436446776429289,463,-2.55344193921647e-05,0.0172567851999843,0.492173459696941,0.215394672485797,0.483328179965167,"06081"
"Seattle",798808,5670.2894369183,140.87605383935,11.3179429878609,1.01611693690604,501,-9.4989836106149e-05,0.375524457446966,0.53721614291562,0.443160425924819,1.19221313887488,"53061"
"Seattle",2195502,5959.53906196849,368.40131043202,4.19095573978093,0.6711477246159,1422,-5.8408212584904e-05,0.150696148589497,0.4478023892688,0.453080553944768,1.3134451249412,"53033"
"Seattle",877013,4663.46489528409,188.060384219226,8.32761588443588,1.18513934311887,560,-0.000118492407705538,0.476457762755108,0.399975856174424,0.317597317040615,0.277133151850056,"53053"
"Washington, D.C.",146773,724.506521051522,202.583407789041,11.6855890492181,3.97930004373351,62,-0.000144997383182874,0.144329011551172,0.471056953737416,NA,NA,"51179"
"Washington, D.C.",157613,40.0732955175008,3933.11800201627,0.378049957712271,0.270757021937469,106,0.000159672928878625,0.0478493403002735,0.431899329535095,NA,NA,"51510"
"Washington, D.C.",7378,691.424452593128,10.6707247224616,138.284890518626,146.011105278286,5,NA,NA,0.495505480981334,NA,NA,"51157"
"Washington, D.C.",692683,176.855588017993,3916.65882748092,0.393012417817762,0.214098436737486,450,-0.000150140997909305,0.142860099086396,0.494104736263578,0.468360729334004,2.30647788437973,"11001"
"Washington, D.C.",14128,5.30704877405519,2662.11987141859,0.663381096756899,0.649015958729052,8,NA,NA,0.43284945239284,NA,NA,"51610"
