"msa","day","pairs_ratio","corr_value","corr_name"
"Chicago",2020-02-11,9.21202417879986e-08,-0.426255934207117,"log_pearson_adjusted"
"Chicago",2020-02-11,9.21202417879986e-08,-0.43137822092526,"log_spearman_adjusted"
"Chicago",2020-02-12,9.21202417879986e-08,-0.0798126111491308,"pearson"
"Chicago",2020-02-12,9.21202417879986e-08,-0.121001233707308,"spearman"
"Chicago",2020-02-12,9.21202417879986e-08,-0.164620352833614,"pearson_adjusted"
"Chicago",2020-02-12,9.21202417879986e-08,-0.433007014280842,"spearman_adjusted"
"Chicago",2020-02-12,9.21202417879986e-08,-0.0901987084376469,"log_pearson"
"Chicago",2020-02-12,9.21202417879986e-08,-0.121001233707308,"log_spearman"
"Chicago",2020-02-12,9.21202417879986e-08,-0.426591380834865,"log_pearson_adjusted"
"Chicago",2020-02-12,9.21202417879986e-08,-0.433007021977887,"log_spearman_adjusted"
"Chicago",2020-02-13,9.21202417879986e-08,-0.0812139137353834,"pearson"
"Chicago",2020-02-13,9.21202417879986e-08,-0.124600205489029,"spearman"
"Chicago",2020-02-13,9.21202417879986e-08,-0.170994107901953,"pearson_adjusted"
"Chicago",2020-02-13,9.21202417879986e-08,-0.433507133778364,"spearman_adjusted"
"Chicago",2020-02-13,9.21202417879986e-08,-0.0948198172552328,"log_pearson"
"Chicago",2020-02-13,9.21202417879986e-08,-0.124600205489029,"log_spearman"
"Chicago",2020-02-13,9.21202417879986e-08,-0.426984006115137,"log_pearson_adjusted"
"Chicago",2020-02-13,9.21202417879986e-08,-0.433507142360471,"log_spearman_adjusted"
"Chicago",2020-02-14,9.21202417879986e-08,-0.0842684785924131,"pearson"
"Chicago",2020-02-14,9.21202417879986e-08,-0.126509909997495,"spearman"
"Chicago",2020-02-14,9.21202417879986e-08,-0.170813620007349,"pearson_adjusted"
"Chicago",2020-02-14,9.21202417879986e-08,-0.425416335961445,"spearman_adjusted"
"Chicago",2020-02-14,9.21202417879986e-08,-0.0970711542044363,"log_pearson"
"Chicago",2020-02-14,9.21202417879986e-08,-0.126509909997495,"log_spearman"
"Chicago",2020-02-14,9.21202417879986e-08,-0.418678789721821,"log_pearson_adjusted"
"Chicago",2020-02-14,9.21202417879986e-08,-0.425416335807825,"log_spearman_adjusted"
"Chicago",2020-02-15,9.21202417879986e-08,-0.0949800699758579,"pearson"
"Chicago",2020-02-15,9.21202417879986e-08,-0.134580178798724,"spearman"
"Chicago",2020-02-15,9.21202417879986e-08,-0.15654681150789,"pearson_adjusted"
"Chicago",2020-02-15,9.21202417879986e-08,-0.39198617806986,"spearman_adjusted"
"Chicago",2020-02-15,9.21202417879986e-08,-0.109937219398002,"log_pearson"
"Chicago",2020-02-15,9.21202417879986e-08,-0.134580178798724,"log_spearman"
"Chicago",2020-02-15,9.21202417879986e-08,-0.38681525613718,"log_pearson_adjusted"
"Chicago",2020-02-15,9.21202417879986e-08,-0.391986188846972,"log_spearman_adjusted"
"Chicago",2020-02-16,9.21202417879986e-08,-0.094247862512116,"pearson"
"Chicago",2020-02-16,9.21202417879986e-08,-0.142988194582494,"spearman"
"Chicago",2020-02-16,9.21202417879986e-08,-0.133993193360343,"pearson_adjusted"
"Chicago",2020-02-16,9.21202417879986e-08,-0.387869499141802,"spearman_adjusted"
"Chicago",2020-02-16,9.21202417879986e-08,-0.116358379941895,"log_pearson"
"Chicago",2020-02-16,9.21202417879986e-08,-0.142988194582494,"log_spearman"
"Chicago",2020-02-16,9.21202417879986e-08,-0.382704790310153,"log_pearson_adjusted"
"Chicago",2020-02-16,9.21202417879986e-08,-0.387869491976912,"log_spearman_adjusted"
"Chicago",2020-03-30,9.21202417879986e-08,-0.037961267257509,"pearson"
"Chicago",2020-03-30,9.21202417879986e-08,-0.0128147243960613,"spearman"
"Chicago",2020-03-30,9.21202417879986e-08,-0.0613294323913191,"pearson_adjusted"
"Chicago",2020-03-30,9.21202417879986e-08,-0.330620567430598,"spearman_adjusted"
"Chicago",2020-03-30,9.21202417879986e-08,0.0014158491398674,"log_pearson"
"Chicago",2020-03-30,9.21202417879986e-08,-0.0128147243960613,"log_spearman"
